_id,placeId,stationName,address,bussinessStatus,location,openingHours,rating,totalUserRating,__v
{'$oid': '66a7efaf3147785e8b32082f'},ChIJcZRvYxUvdTER4pfuWAv0g-U,EV ONE Charging Station,"75 Đ. Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7936968, 'lng': 106.6874054}",Closed,5,11,0
{'$oid': '66a7efaf3147785e8b320832'},ChIJzxET5lYpdTER2ttyLTDPO2g,Sạc Xe Điện VT Charging,"226/17/18 Nguyễn Văn Lượng, Phường 17, Gò Vấp, Hồ Chí Minh 727010, Vietnam",OPERATIONAL,"{'lat': 10.8393976, 'lng': 106.6729245}",Closed,5,2,0
{'$oid': '66a7efaf3147785e8b320835'},ChIJm_LmFIIpdTERHzhyedzmJUw,Rửa Xe 270,"801A Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8374143, 'lng': 106.6363898}",Closed,0,0,0
{'$oid': '66a7efb03147785e8b320838'},ChIJu-32EwApdTERSj2pOT87Qvk,Electric Vehicle Charging Station,"Đ. Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8034092, 'lng': 106.6781407}",Open,3,2,0
{'$oid': '66a7efb03147785e8b32083b'},ChIJZXPrI2ItdTERYrJK2vqsrrQ,VinFast Charging Station,"Đ. Võ Văn Vân, Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7927461, 'lng': 106.5747007}",Open,4.7,15,0
{'$oid': '66a7efb03147785e8b32083e'},ChIJ5dTKJgArdTERFVNJthEaJ8k,Electric Vehicle Charging Station,"29/34 Đ. Tân Chánh Hiệp 25, Tân Chánh Hiệp, Quận 12, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.868148, 'lng': 106.6201505}",Closed,5,1,0
{'$oid': '66a7efb13147785e8b320841'},ChIJL-d9WwArdTERqae3hvy9TTQ,VinFast Charging Station,"40/17 Đ. Số 7, Bình Hưng Hoà, Bình Tân, Hồ Chí Minh 700000, Vietnam",OPERATIONAL,"{'lat': 10.803347, 'lng': 106.6007579}",Open,5,5,0
{'$oid': '66a7efb13147785e8b320844'},ChIJdav5UuMpdTERtDEM7dPmt2E,Chargeplus Vietnam,"49 Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7904456, 'lng': 106.6922901}",Closed,0,0,0
{'$oid': '66a7efb13147785e8b320847'},ChIJW-FkO1_XdDERybT3WH_cf_c,VinFast Charging Station,"68 Thạnh Xuân 38, Thạnh Xuân, Quận 12, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.886814, 'lng': 106.678863}",Open,5,6,0
{'$oid': '66a7efb23147785e8b32084a'},ChIJqzEbBtordTERM9Q-gyXlRn0,VinFast Charging Station,"144/36/9, Đường Số 6, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7959043, 'lng': 106.5905359}",Open,5,6,0
{'$oid': '66a7efb23147785e8b32084d'},ChIJdWbOz-4rdTERoBYKqE5Ul4M,Rửa Xe 501,"501 Đ. Lê Trọng Tấn, Sơn Kỳ, Tân Phú, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8097578, 'lng': 106.6136305}",Closed,0,0,0
{'$oid': '66a7efb23147785e8b320850'},ChIJ178jIP8rdTERq3u2Z1LLkzU,Rửa Xe 105,"105 Đ. Gò Dầu, Tân Quý, Tân Phú, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7959267, 'lng': 106.6246801}",Closed,1,1,0
{'$oid': '66a7efb33147785e8b320853'},ChIJNzRVCwArdTERr9p0jh_Eafk,VinFast Charging Station,"57 ấp Nam Lân, Bà Điểm, Hóc Môn, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8402698, 'lng': 106.608567}",Closed,5,3,0
